db_id,db_name,db_desc,db_friendly_name,is_active,compatibility_level,collation_name
5,BEKM_PRD,BEKMAR IRRIGATION (PTY) LTD,BEKMAR IRRIGATION (PTY) LTD,1,110,SQL_Latin1_General_CP850_CI_AS
6,BIVIA_PRD,BIVIA (PTY) LTD,BIVIA (PTY) LTD,0,110,SQL_Latin1_General_CP850_CI_AS
7,IFSERV,NULL,NULL,0,140,SQL_Latin1_General_CP1_CI_AS
8,RSP,NULL,NULL,0,140,SQL_Latin1_General_CP1_CI_AS
9,SBO-COMMON,NULL,NULL,0,140,SQL_Latin1_General_CP850_CI_AS
10,SLDModel.SLDData,NULL,NULL,0,140,SQL_Latin1_General_CP1_CI_AS
11,BEKM_TEST,##TEST_PRD##,##TEST_PRD##,0,110,SQL_Latin1_General_CP850_CI_AS
12,B1if,NULL,NULL,0,140,SQL_Latin1_General_CP1_CI_AS
13,IND_LIQ_PRD,INDUSTRIAL LIQUOR DISTRIBUTORS,INDUSTRIAL LIQUOR DISTRIBUTORS,1,140,SQL_Latin1_General_CP850_CI_AS
14,DJ_PRD,DJ Solar (Pty) Ltd.,DJ Solar (Pty) Ltd.,1,140,SQL_Latin1_General_CP850_CI_AS
15,IND_LIQ_PRD2,NULL,NULL,0,140,SQL_Latin1_General_CP1_CI_AS
16,LIMT_PRD,LIMTECH (PTY) LTD,LIMTECH (PTY) LTD,0,140,SQL_Latin1_General_CP850_CI_AS
17,VIVO_WATER_PRD,LIMROAST (PTY) LTD,LIMROAST (PTY) LTD,0,140,SQL_Latin1_General_CP850_CI_AS
18,BIVIA,NULL,NULL,0,140,SQL_Latin1_General_CP1_CI_AS
19,LIMTECH_PRD,LIMTECH (PTY) LTD,LIMTECH (PTY) LTD,0,140,SQL_Latin1_General_CP850_CI_AS
